Id,Time,date,full_text,relevant,tone,veneco,veneca,subject,translation_deepl,text
5.594615538594857e+17,Sun Jan 25 21:23:23 +0000 2015,2015-01-25,"@Juan_Florez Hola Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@Juan_Florez Hello Tuition, migration counseling Canada psychological support free of charge.conditions apply restrictions.","Juan_Florez Hello Tuition, migration counseling Canada psychological support free of charge.conditions apply restrictions."
5.59461292642431e+17,Sun Jan 25 21:22:21 +0000 2015,2015-01-25,"@ELTIEMPO Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo. Aplican condiciones restricciones. ",0,,,,,"Hello, Enrollment, migration counseling and psychological support Canada free of charge. Restrictions apply.","Hello, Enrollment, migration counseling and psychological support Canada free of charge. Restrictions apply."
5.594611114736353e+17,Sun Jan 25 21:21:37 +0000 2015,2015-01-25,"@UnicentroBogota  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"UnicentroBogota Enrollment, migration counseling and psychological support free of charge.","UnicentroBogota Enrollment, migration counseling and psychological support free of charge."
5.594609994983301e+17,Sun Jan 25 21:21:11 +0000 2015,2015-01-25,"@BogotaenBici HolaMatriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"HelloMatriculations, migration counseling and psychological support Canada free of charge.conditions apply restrictions","HelloMatriculations, migration counseling and psychological support Canada free of charge.conditions apply restrictions"
5.594607943255654e+17,Sun Jan 25 21:20:22 +0000 2015,2015-01-25,"@Anna_Mile Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@Anna_Mile Hello, Enrollment, migration counseling Canada psychological support at no cost, restrictions apply.","Anna_Mile Hello, Enrollment, migration counseling Canada psychological support at no cost, restrictions apply."
5.594601981429842e+17,Sun Jan 25 21:18:00 +0000 2015,2015-01-25,"@plandecompra  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@plandecompra Enrollment, migration counseling and psychological support free of charge.","plandecompra Enrollment, migration counseling and psychological support free of charge."
5.594600696504812e+17,Sun Jan 25 21:17:29 +0000 2015,2015-01-25,"@SurtidoradAves  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@SurtidoradAves Enrollment, migration counseling and psychological support Canada free of charge. conditions apply restrictions","SurtidoradAves Enrollment, migration counseling and psychological support Canada free of charge. conditions apply restrictions"
5.594599600281641e+17,Sun Jan 25 21:17:03 +0000 2015,2015-01-25,"@LuchoMalambo  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@LuchoMalambo Enrolment, migration counselling, psychological support at no cost.","LuchoMalambo Enrolment, migration counselling, psychological support at no cost."
5.5945970459503e+17,Sun Jan 25 21:16:02 +0000 2015,2015-01-25,"@DespegarAr Hola, Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"Hello, Enrollment, migration counseling Canada psychological support free of charge, conditions apply restrictions.","Hello, Enrollment, migration counseling Canada psychological support free of charge, conditions apply restrictions."
5.59459140217897e+17,Sun Jan 25 21:13:47 +0000 2015,2015-01-25,"@ararubiano4 Hola,Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@ararubiano4 Hello,Enrollment,migration counseling Canada psychological support free of charge.conditions apply restrictions.","ararubiano4 Hello,Enrollment,migration counseling Canada psychological support free of charge.conditions apply restrictions."
5.594576880114115e+17,Sun Jan 25 21:08:01 +0000 2015,2015-01-25,"@flavia2santos  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@flavia2santos Enrollment, migration counseling Canada psychological support at no cost, restrictions apply","flavia2santos Enrollment, migration counseling Canada psychological support at no cost, restrictions apply"
5.594571280340951e+17,Sun Jan 25 21:05:48 +0000 2015,2015-01-25,"@DiaaDiaCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"Caracol @DiaaDiaCaracol Enrollment, migration counseling Canada psychological support free of charge. conditions apply restrictions.","Caracol DiaaDiaCaracol Enrollment, migration counseling Canada psychological support free of charge. conditions apply restrictions."
5.594569827392061e+17,Sun Jan 25 21:05:13 +0000 2015,2015-01-25,"@TitanesCaracol  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"TitanesCaracol Enrollment, migration counseling Canada psychological support at no cost, conditions apply restrictions.","TitanesCaracol Enrollment, migration counseling Canada psychological support at no cost, conditions apply restrictions."
5.594568815935775e+17,Sun Jan 25 21:04:49 +0000 2015,2015-01-25,"@DANE_Colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"DANE_Colombia Enrollment, migration counseling and psychological support free of charge.","DANE_Colombia Enrollment, migration counseling and psychological support free of charge."
5.594567306112e+17,Sun Jan 25 21:04:13 +0000 2015,2015-01-25,"@soyDORACARDONA Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"I'm DORACARDONA Enrollment, migration counseling and psychological support Canada free of charge. conditions apply restrictions","Im DORACARDONA Enrollment, migration counseling and psychological support Canada free of charge. conditions apply restrictions"
5.594564905795584e+17,Sun Jan 25 21:03:16 +0000 2015,2015-01-25,"@los40colombia  Matriculas,asesorías migración Canadá apoyo psicológico sin costo.Aplican condiciones restricciones ",0,,,,,"@los40colombia Enrollment, migration counseling and psychological support free of charge.","los40colombia Enrollment, migration counseling and psychological support free of charge."
