department,population_2018
Bogotá Distrito Capital,7412566
Antioquia,6407102
Valle del Cauca,4475886
Cundinamarca,2919060
Atlántico,2535517
Santander,2184837
Bolívar,2070110
Córdoba,1784783
Nariño,1630592
Norte de Santander,1491689
Cauca,1464488
Magdalena,1341746
Tolima,1330187
Boyacá,1217376
Cesar,1200574
Huila,1100386
Meta,1039722
Caldas,995670
Risaralda,943401
Sucre,904863
La Guajira,880560
Quindío,539904
Chocó,534826
Casanare,420504
Caquetá,401849
Putumayo,348182
Arauca,262174
Vichada,107808
Guaviare,82767
Amazonas,76589
San Andrés y Providencia,61280
Guainía,48114
Vaupés,40797
