department,mugging,population_2018,proportion_per_100000
Bogotá Distrito Capital,105965,7412566,1429.5319596479815
San Andrés y Providencia,452,61280,737.5979112271541
Atlántico,12880,2535517,507.9831844945232
Antioquia,31649,6407102,493.96747546706763
Meta,5114,1039722,491.8622477931601
Valle del Cauca,21237,4475886,474.47589147712876
Quindío,2415,539904,447.3017425320057
Santander,9631,2184837,440.8109163292273
Tolima,5719,1330187,429.9395498527651
Cundinamarca,12514,2919060,428.6996498872925
Huila,4468,1100386,406.039335287799
Risaralda,3166,943401,335.59430189283245
Nariño,5267,1630592,323.011519742523
Casanare,1332,420504,316.762741852634
Cauca,4454,1464488,304.1335948126581
Cesar,3581,1200574,298.27399227369574
Bolívar,6100,2070110,294.6703315282763
Caquetá,1175,401849,292.39838844939266
Magdalena,3602,1341746,268.4561757590483
Boyacá,2917,1217376,239.61372657256263
Sucre,2143,904863,236.83143194052582
Caldas,2333,995670,234.3145821406691
Norte de Santander,3193,1491689,214.05266111099564
Arauca,478,262174,182.321664238254
La Guajira,1574,880560,178.74988643590441
Amazonas,135,76589,176.2655211583909
Chocó,816,534826,152.5729863544405
Córdoba,2271,1784783,127.2423594352927
Guaviare,86,82767,103.90614616936702
Guainía,47,48114,97.68466558590015
Putumayo,294,348182,84.43859820438736
Vichada,50,107808,46.37874740279015
Vaupés,14,40797,34.31624874378018
