department,unemployment_rate,population_2018,unemployment_rate_per_100000
Antioquia,10.2,6407102,159.20098039215686
Atlántico,7.4,2535517,291.85393258426965
Bogotá Distrito Capital,10.5,7412566,141.65158371040723
Bolívar,6.4,2070110,309.16149068322983
Boyacá,7.5,1217376,616.0714285714286
Caldas,9.2,995670,923.9927536231884
Caquetá,8.2,401849,2040.5714285714284
Cauca,8.3,1464488,566.7469879518072
Cesar,10.9,1200574,907.9166666666666
Chocó,9.8,534826,1832.3636363636363
Córdoba,9.1,1784783,509.87912087912086
Cundinamarca,8.0,2919060,274.0625
Huila,8.7,1100386,790.6321839080459
La Guajira,6.5,880560,738.1538461538462
Magdalena,7.4,1341746,551.5405405405405
Meta,12.2,1039722,1173.3606557377048
Nariño,6.8,1630592,417.02941176470586
Norte de Santander,12.4,1491689,831.2903225806451
Quindío,13.5,539904,2500.4444444444443
Risaralda,7.8,943401,826.7948717948718
Santander,6.8,2184837,311.2352941176471
Sucre,9.1,904863,1005.6813186813187
Tolima,10.1,1330187,759.2871287128713
Valle del Cauca,11.5,4475886,256.93478260869566
