department,poverty_rate,extreme_poverty_rate,gini_coefficient,population_2018,poverty_rate_per_100000,extreme_poverty_rate_per_100000,gini_coefficient_per_100000
Antioquia,21.2,5.6,0.501,6407102,330.88,87.40,7.82
Atlántico,24.2,2.4,0.443,2535517,954.64,94.66,17.47
Bogotá Distrito Capital,12.4,2.5,0.504,7412566,167.28,33.73,6.80
Bolívar,36.2,7.0,0.472,2070110,1749.19,338.15,22.80
Boyacá,26.6,5.4,0.483,1217376,2185.01,443.57,39.67
Caldas,22.1,5.7,0.490,995670,2219.62,572.49,49.21
Caquetá,40.1,8.8,0.479,401849,9979.44,2190.37,119.20
Cauca,50.5,22.9,0.520,1464488,3448.24,1563.97,35.51
Cesar,42.9,12.5,0.488,1200574,3573.35,1041.17,40.65
Chocó,61.1,34.5,0.579,534826,11424.36,6449.30,108.26
Córdoba,44.2,11.1,0.477,1784783,2476.50,621.93,26.73
Cundinamarca,16.4,4.3,0.422,2919060,561.83,147.31,14.46
Huila,37.0,9.2,0.510,1100386,3362.44,836.07,46.35
La Guajira,53.7,26.7,0.552,880560,6098.71,3033.48,62.69
Magdalena,46.6,14.7,0.487,1341746,3472.37,1095.60,36.30
Meta,25.4,7.3,0.494,1039722,2442.97,702.13,47.51
Nariño,41.4,12.7,0.512,1630592,2539.02,778.86,31.40
Norte de Santander,41.7,10.2,0.468,1491689,2795.51,683.80,31.37
Quindío,24.1,4.4,0.447,539904,4463.75,814.77,82.79
Risaralda,17.7,3.1,0.439,943401,1876.19,328.60,46.53
Santander,20.1,3.9,0.486,2184837,920.00,178.50,22.24
Sucre,41.0,7.5,0.461,904863,4530.03,828.87,50.95
Tolima,31.0,9.2,0.482,1330187,2330.51,691.63,36.24
Valle del Cauca,20.4,5.1,0.468,4475886,455.78,113.94,10.46

