department,homicides,population_2018,homicides_rate_per_100000
Bogotá Distrito Capital,5303,7412566,71.54297170768775
Atlántico,2994,2535517,118.08289426333889
Antioquia,10868,6407102,169.62576372435897
Meta,1378,1039722,132.53736770329193
Valle del Cauca,11492,4475886,256.75536223129924
Quindío,933,539904,172.80828807186458
Santander,1549,2184837,70.89812331215897
Tolima,1511,1330187,113.59297062392196
Cundinamarca,1938,2919060,66.39097115040677
Huila,1334,1100386,121.23136170414927
Risaralda,1093,943401,115.85766449429395
Nariño,2889,1630592,177.17495852195382
Casanare,362,420504,86.08710162566397
Cauca,3940,1464488,269.03574817336714
Cesar,1314,1200574,109.44766092641698
Bolívar,2236,2070110,108.01343673494775
Caquetá,754,401849,187.63205027633566
Magdalena,1646,1341746,122.67829092435244
Boyacá,444,1217376,36.47205073995667
Sucre,880,904863,97.25157775674947
Caldas,832,995670,83.56252787456446
Norte de Santander,2669,1491689,178.92481428539635
Arauca,924,262174,352.4397825279507
La Guajira,972,880560,110.38389513108614
Amazonas,77,76589,100.53659309196476
Chocó,1285,534826,240.26467774471903
Córdoba,1823,1784783,102.14156355899913
Guaviare,149,82767,180.02343767967675
Guainía,17,48114,35.33316249656524
Putumayo,901,348182,258.77351526172844
Vichada,89,107808,82.55289584061422
Vaupés,17,40797,41.66970365468049
