year, net_number_of_migrants_venezuela, net_number_of_migrants_colombia, net_number_of_migrants_chile, net_number_of_migrants_peru 
1950,62817,-35000,-25000,-97
1951,55166,-36000,-25000,-448
1952,47647,-40000,-25000,-1927
1953,40478,-48000,-25000,-5784
1954,33737,-47000,-25000,-5884
1955,27608,-48000,-25000,-6270
1956,22259,-49000,-25000,-6526
1957,17795,-52000,-26000,-7565
1958,14299,-64000,-26000,-7731
1959,11154,-51000,-27000,-7508
1960,8369,-49000,-27000,-7236
1961,6069,-48000,-27000,-7063
1962,4386,-50000,-28000,-9051
1963,3296,-53000,-29000,-10040
1964,2410,-54000,-31000,-12129
1965,1656,-52000,-34000,-12470
1966,1087,-59000,-36000,-13166
1967,717,-57000,-38000,-13837
1968,532,-61000,-38000,-13389
1969,403,-64000,-37000,-12776
1970,305,-66000,-36000,-15653
1971,215,-85000,-34000,-20209
1972,173,-78000,-33000,-24100
1973,171,-76000,-32000,-28191
1974,173,-81000,-31000,-33493
1975,186,-84000,-31000,-34382
1976,190,-98000,-30000,-34602
1977,196,-68000,-30000,-25117
1978,205,-68000,-30000,-19939
1979,228,-64000,-30000,-17148
1980,237,-44000,-28000,-11446
1981,251,-50000,-28000,-11123
1982,260,-37000,-27000,-7748
1983,260,-13000,-23000,-4243
1984,247,-19000,-21000,-6007
1985,237,-21000,-18000,-13887
1986,201,-42000,-17000,-33891
1987,182,-36000,-12000,-34651
1988,137,-25000,-9000,-31238
1989,32,-21000,-6000,-33569
1990,-69,-8000,-1000,-29437
1991,-236,-48000,-2000,-61645
1992,-381,-15000,0,-41702
1993,-477,-30000,1000,-51775
1994,-559,-16000,2000,-39299
1995,-622,-33000,2000,-46499
1996,-708,-28000,3000,-38749
1997,-816,-24000,4000,-32515
1998,-1010,-8000,11000,-24388
1999,-1376,-23000,8000,-55325
2000,-1999,-28000,7000,-92353
2001,-2856,-29000,6000,-129481
2002,-3944,-24000,8000,-157158
2003,-5729,-33000,9000,-181276
2004,-10798,-26000,11000,-194171
2005,-18407,-41000,14000,-221652
2006,-27240,-39000,17000,-231851
2007,-36060,-50000,20000,-236745
2008,-43636,-63000,22000,-235307
2009,-50286,-47000,24000,-219314
2010,-52781,-34000,26000,-181302
2011,-54384,-46000,28000,-148339
2012,-55131,-56000,31000,-118863
2013,-57818,-65000,37000,-95214
2014,-62437,-68000,53000,-50383
2015,-77417,-41000,56000,2421
2016,-283270,104000,136000,96740
2017,-817376,431000,221000,114382
2018,-1355602,496000,238000,339067
2019,-975534,397000,181000,74270
2020,-524649,227000,26000,55375
2021,-332936,199000,65000,41868
2022,-141107,183000,59000,33982
2023,-112899,155000,63000,24783
