date,title,text,tone,code?,returnees,blaming_migrants,blaming_government,blaming_geopolitics,blaming_infrastructure,blaming_vulnerability,blaming_locals,frustration_expression,date_complete
2015-02,In September opening of the Tienditas bridge,"The Foreign Minister toured this Thursday the works of the Tienditas point, in Cúcuta, which will connect Colombia with Venezuela.",0,1,0,0,0,0,0,0,0,0,2015-02-05
2015-02,In September opening of the Tienditas bridge,"After observing the progress of the work, Holguín expressed her pleasure at its progress and recalled that she laid the first stone of the bridge with former Venezuelan Foreign Minister Elías Jagua, in February 2014.",0,1,0,0,0,0,0,0,0,0,2015-02-05
2015-02,In September opening of the Tienditas bridge,"For the official, it is satisfactory to see that the construction of the bridge is already more than fifty percent advanced.",0,1,0,0,0,0,0,0,0,0,2015-02-05
2015-02,In September opening of the Tienditas bridge,"They tell us that by September the presidents will be able to make this inauguration, the minister announced.",0,1,0,0,0,0,0,0,0,0,2015-02-05
2015-02,In September opening of the Tienditas bridge,"The Tienditas bridge has three lanes to go to the neighboring country and three to return, plus two pedestrian bridges, and its construction is valued at 32 million dollars, which have been invested by the governments of Venezuela and Colombia.",1,1,0,0,0,0,0,0,0,0,2015-02-05
2015-02,In September opening of the Tienditas bridge,"This is an example that we can work together and think big, said the chancellor.",2,1,0,0,0,0,0,0,0,0,2015-02-05
2017-10,"Venezuelans, with the same rights as Colombians to apply for jobs","The Ministry of Labor, through the Public Employment Service (SPE), approved that Venezuelans who have arrived in the country have the same rights as Colombians when applying for available vacancies and the service portfolio of this entity.",1,1,0,0,0,0,0,0,0,0,2017-10-11
2017-10,"Venezuelans, with the same rights as Colombians to apply for jobs","The Minister of Labor, Griselda Janeth Restrepo, pointed out that the entity in her charge joins the initiative that is based on the promotion of an orderly, regular and safe migration policy, guaranteeing security and respect for the rights of nationals and foreigners. , in order to avoid labor exploitation and preserve internal and social order.",2,1,0,0,0,0,0,0,0,0,2017-10-11
2017-10,"Venezuelans, with the same rights as Colombians to apply for jobs","It is important to clarify that the permit is granted only to Venezuelan migrants who entered Colombian territory before July 28 with their passport and through an authorized Migratory Control post, who do not have a national and international judicial record or expulsion measure. or current deportation.",0,1,0,0,0,0,0,0,0,0,2017-10-11
2015-08,"Due to the closure of the border, 400,000 dollars are lost","Trucks that got stuck with their cargo, coal shipments interrupted and even the passage of private vehicles in search of mechanical services and spare parts are among the economic activities that have received an immediate impact due to the crisis that unleashed the closure of the border with Venezuela.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","It is estimated that by the time of closure some 250 Colombian trucks were stationed at the border, where 10,000 million pesos a day are moved.",0,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","A first blow is for perishable products, says Germán Umaña, director of the ColomboVenezuelan Chamber of Commerce (CCCV), while a high number of carriers will run out of cargo during the time that there is no solution.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","The impact of the closure of the border in Cúcuta, says Javier Díaz, president of the National Association of Foreign Trade (Analdex), was lessened by the option of cargo trucks leaving for Venezuela through the Paraguachón border, in La Guajira.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","When the closure completed its first 72 hours, the governor of Norte de Santander, Édgar Díaz, estimated that by that time it had affected some 100,000 people and that the estimated losses (were) of about 400,000 dollars a day.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","In statements to Efe, Díaz said that this figure corresponds to the shipment of some 4,000 tons of coal a day to Europe that Colombia exports through the port of the Venezuelan city of Maracaibo.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","The manager of Asocarbón in Norte de Santander, Jaime Rodríguez, stated that the closure affects both countries because the mineral is produced by 7,000 Colombian families, and is then transported by Venezuelan personnel and vehicles.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","On the other hand, the president of Asopartes, Tulio Zuloaga, said that through the Cúcuta border, 250 vehicle owners go daily to Colombia from Venezuela to look for workshop services and spare parts, a dynamic that moves 154 million dollars a year.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","For this reason, it calculates the daily loss due to the closure of the border, in that sector, at about 422,000 dollars.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","From the point of view of the export industries, there are no specific complaints about the current situation, since the deterioration of their sales comes from years ago, warns the president of Analdex.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","In that sense, it is still difficult for these entrepreneurs to measure the impact.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","The closure of the market in Venezuela since 2009 has already caused a noticeable drop in exports, and this year they will only be 1,500 million dollars.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","They reached 6,000 million dollars a year, explains Díaz.",0,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","And it is that before the recent diplomatic crises with the neighboring country, exports were the bogeyman if the Government of Venezuela threatened to restrict them.",-1,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","For example, in 2008 they represented 16.2 percent of Colombias total exports, adding up to 6,092 million dollars.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","However, in the first six months of 2015 they were only 3.2 percent, with 1,012 million.",0,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost",An important reason for the decline in sales is the lack of foreign currency to pay entrepreneurs.,0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","Therefore, Colombian exporters have restricted their shipments and demand cash payments.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","For his part, the director of the National Planning Department (DNP), Simón Gaviria, says that the worrying economic outlook in the neighboring country can lead to trade, exchange and logistical complications.",-1,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost",To the current situation of displacement of our compatriots for political reasons is added the latent possibility of a phenomenon of economic refugees in the medium term.,0,1,0,0,0,1,0,0,0,1,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","For that reason, he considers that the country must prepare for this new scenario.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","And that the Development Plan scheduled investments for the 20152018 period of the order of 57.8 billion, including initiatives such as the Norte de Santander Plan Contract and the Arauca Plan Contract, for 1.72 billion.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","Likewise, Conpes 3805 de Fronteras includes a large part of these investments.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2015-08,"Due to the closure of the border, 400,000 dollars are lost","Apart from this, we are already building an economic and humanitarian action plan for the next two years in case the Venezuelan economy and its politics deteriorate even more, he says.",0,1,0,0,0,0,0,0,0,0,2015-08-29
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","The surgeon Iván Santos denounced in a video published on his social networks the aggression of which he was a victim this Thursday, when he was passing with his wife through Carrera 7 with Calle 174, in the north of Bogotá, where a sitin was taking place of people who were asking for aid due to the economic crisis.",-1,1,0,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants",The health professional said that when he reached that point he got out of the vehicle to explain to the protesters that he was a doctor and that circulation was allowed.,0,1,0,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants",It was at that moment that the assault occurred.,0,1,0,1,0,0,0,0,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","At least eight people took me, they hit me with sticks, they took my truck, where my wife was driving, and they took it with sticks, they broke it with stones, said the doctor, who also showed the damage to the windows of his vehicle, despite being armored.",0,1,0,1,0,0,0,0,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","The Secretary of Security of Bogotá, Hugo Acero, explained that men from the Bogotá Police arrived at the scene to clear the road and to attend to Dr. Santoss complaint.",0,1,0,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","He added that in the midst of the investigative work, the videos that circulate on social networks and that show how the aggression occurred will be key.",0,1,0,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","In fact, two people were captured for the attack on the doctor and must answer for their actions in court.",0,1,0,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","This case, which apparently was carried out by Venezuelan migrants, once again put on the table the discussion about what to do with this population, which according to data from Migración Colombia exceeded 352,000 people before isolation.",-1,1,0,1,0,0,0,0,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","Official data shows that so far in the quarantine, some 6,000 have returned to their country.",0,1,1,0,0,0,0,0,0,0,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","However, many continue in the city and have been involved in cases such as that of Dr. Santos, or the invasion of a disused residential complex in Soacha, where foreigners, displaced by violence, and mothers who are heads of households decided to spend the nights during this time of crisis.",0,1,0,1,0,0,0,0,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","The mayor of Soacha, Juan Carlos Saldarriaga, said that the group of people, mainly Venezuelans, who took over those apartments said they did so due to economic hardship.",-1,1,0,0,0,0,0,1,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","The necessary police actions will be taken to restore private property and see how aid is delivered to those who really need it, but the way in which they invaded the property is not correct, said Mayor Saldarriaga.",-1,1,0,1,0,0,0,0,0,1,2020-04-30
2020-04,"Attack on a doctor, symptom of the crisis that overwhelms migrants","Regarding other events involving migrants, such as the five who were expelled for drinking liquor and assaulting people on April 10, or the group of 200 people who were detained at the Los Andes toll on the North highway, but between this On Thursday and Friday they managed to continue on their way to Caracas, the district and immigration authorities must reach fluid agreements that facilitate care for those who remain in the city, and manage the resources to support the departure of those who want to return to their country.",-1,1,0,1,0,0,0,0,0,1,2020-04-30
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,At least twenty displaced families from the neighboring country arrived this weekend at the Bogotá transport terminal to shelter from the cold and rain.,0,1,0,0,0,0,0,1,0,1,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"According to the Secretariat of Social Integration, the number of Venezuelan nationals has increased in the last two weeks, generating a true social emergency.",-2,1,0,0,0,0,0,1,0,1,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,The outlook is no better today.,0,1,0,0,0,0,0,1,0,1,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,You see mostly children in cars with nothing to eat.,0,1,0,0,0,0,0,1,0,1,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,Families tired of so much walking from the border territory settle in the surroundings of the neighborhood.,-1,1,0,0,0,0,0,1,0,1,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,We are on the road and we have done nothing more than beautify.,0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"The situation in the country is very difficult, said the father of one of the families.",0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"They say that Venezuela is a lawless country and that they had no other option but to leave their country, where the humanitarian crisis is growing.",-1,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,Others say that their goal is to reach Ecuador.,0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"Meanwhile, they do not know what to do to protect themselves from the cold that has been felt in Bogotá in recent weeks.",-1,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,The Secretariat of Social Integration assured that it has provided them with attention in the Social Supercade and in the migrant information offices.,0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"Families with children, pregnant women or the elderly are being offered temporary shelter, and children in begging conditions are referred to the Abrazar center.",1,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"In the last few hours, a contingency team arrived at the terminal that is preparing to attend to migrants who come in transit to Ecuador before a visa is imposed at the end of this month.",1,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"The contingency team is made up of the Secretaries of Health, General and Social Integration.",0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,Drama of Venezuelan families in the transport terminal of Bogotá,"There is also the presence of other entities such as Colombia Migration, IOM, Acnur, Norwegian Council.",0,1,0,0,0,0,0,0,0,0,2019-08-20
2019-08,The impact of the humanitarian visa,"The humanitarian visa measure, which began to take effect from midnight on Monday, will bring together thousands of migrants on the Colombian border with Ecuador located in Rumichaca, Nariño.",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"After the director of Migration Colombia, Christian Krüger Sarmiento, announced a contingency plan at the immigration control post to avoid damming at the border, the institution reported on Sunday a high flow of Venezuelans leaving through the International Bridge of more of 4,000 people.",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"Days before, the lines of migrants in transit reached more than 10,000 people at the crossing of that land border.",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"According to the Foreign Ministry of Ecuador, the visa, whose procedure was enabled since last August 21, aims to guarantee a safe, orderly and regular migration.",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"However, the measure has been perceived as a difficulty among migrants, for whom the 50 dollars of the processing form is an unsustainable cost with their current needs.",-1,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"Among other requirements, the visa, which can be requested online on the website of the Ecuadorian consulate, requires a criminal record certificate apostilled or legalized by Venezuelan authorities and to attend a facetoface appointment at the consulates in Bogotá, Lima or Caracas. .",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"In the opinion of analyst Gilma Ballesteros, doctor in peace, conflict and democracy, Ecuadors decision has consequences for other countries at a time when each government is responding to the phenomenon with its policies and to the extent of its availability of resources, some more flexible than others.",0,1,0,0,0,1,0,0,0,1,2019-08-25
2019-08,The impact of the humanitarian visa,"In his opinion, Colombia should dialogue with its brother country to understand how to facilitate the management of this visa.",0,1,0,0,0,0,0,0,0,0,2019-08-25
2019-08,The impact of the humanitarian visa,"However, he points out that the region needs to agree on how the phenomenon will be handled.",0,1,0,0,0,1,0,0,0,1,2019-08-25
2019-08,The impact of the humanitarian visa,Ballesteros points out that those who are in transit seek to reach a place where family or friends with whom they have sentimental and economic ties are waiting for them.,0,1,0,0,0,0,0,0,0,0,2019-08-25
