date, count_negative, count_neutral, count_positive
2014-01, 249, 229, 162
2014-02, 767, 210, 265
2014-03, 472, 218, 193
2014-04, 249, 672, 126
2014-05, 296, 174, 109
2014-06, 359, 171, 192
2014-07, 429, 211, 174
2014-08, 512, 238, 163
2014-09, 716, 508, 248
2014-10, 341, 261, 172
2014-11, 318, 234, 121
2014-12, 230, 123, 161
2015-01, 656, 216, 201
2015-02, 463, 140, 144
2015-03, 411, 304, 116
2015-04, 313, 171, 88
2015-05, 262, 150, 142
2015-06, 2234, 1104, 814
2015-07, 258, 158, 310
2015-08, 3259, 1157, 651
2015-09, 1634, 752, 505
2015-10, 446, 233, 127
2015-11, 325, 205, 198
2015-12, 678, 169, 243
2016-01, 290, 112, 111
2016-02, 345, 180, 154
2016-03, 470, 257, 240
2016-04, 255, 270, 252
2016-05, 508, 424, 405
2016-06, 839, 328, 225
2016-07, 960, 1400, 443
2016-08, 889, 1609, 715
2016-09, 538, 525, 393
2016-10, 633, 284, 242
2016-11, 401, 379, 178
2016-12, 879, 324, 168
2017-01, 6892, 1970, 1094
2017-02, 3178, 1618, 603
2017-03, 1688, 930, 659
2017-04, 1179, 598, 506
2017-05, 1066, 892, 567
2017-06, 651, 441, 252
2017-07, 1732, 5889, 582
2017-08, 4091, 3285, 4035
2017-09, 1143, 1516, 820
2017-10, 661, 1357, 338
2017-11, 1451, 1649, 1549
2017-12, 1051, 1162, 511
2018-01, 3466, 3656, 1568
2018-02, 8715, 8975, 3387
2018-03, 4313, 4281, 2266
2018-04, 4098, 5708, 2238
2018-05, 3884, 4770, 4889
2018-06, 3508, 3148, 2078
2018-07, 3685, 3646, 1782
2018-08, 10631, 8120, 5130
2018-09, 9797, 39021, 8679
2018-10, 8418, 14288, 12482
2018-11, 11569, 14734, 4948
2018-12, 7578, 10800, 5019
2019-01, 9518, 6292, 4195
2019-02, 14928, 23346, 8109
2019-03, 10992, 7921, 5487
2019-04, 10286, 16255, 9388
2019-05, 10410, 15375, 7952
2019-06, 8343, 11458, 8379
2019-07, 9157, 6045, 3961
2019-08, 8905, 8516, 9389
2019-09, 8626, 7864, 6290
2019-10, 8295, 5832, 2841
2019-11, 37116, 10150, 5941
2019-12, 7654, 5631, 6326
2020-01, 8136, 8411, 3810
2020-02, 9398, 4909, 5816
2020-03, 15473, 7314, 5998
2020-04, 23711, 19472, 15096
2020-05, 14408, 13821, 10284
2020-06, 18586, 18528, 12766
2020-07, 12837, 10693, 8191
2020-08, 13712, 11793, 7171
2020-09, 13290, 7966, 4572
2020-10, 21253, 12788, 7599
2020-11, 13813, 14759, 4968
2020-12, 11974, 8382, 7215
2021-01, 10622, 7481, 5263
2021-02, 19419, 21969, 18490
2021-03, 26281, 15287, 12090
2021-04, 13169, 7162, 8058
2021-05, 11973, 8368, 5512
2021-06, 11676, 8879, 6426
2021-07, 10454, 9586, 6417
2021-08, 16706, 8844, 7688
2021-09, 9864, 6581, 4612
2021-10, 9608, 10811, 5778
2021-11, 7776, 11305, 9517
2021-12, 9545, 7248, 6874
2022-01, 10149, 8792, 4130
2022-02, 16960, 12991, 7804
2022-03, 10379, 6525, 5263
2022-04, 11302, 7884, 6375
2022-05, 17114, 8854, 4930
2022-06, 14281, 12474, 6255
