month, count_negative, count_neutral, count_positive
2014-01, 229, 149, 139
2014-02, 682, 173, 234
2014-03, 434, 161, 174
2014-04, 229, 101, 110
2014-05, 265, 124, 102
2014-06, 316, 141, 162
2014-07, 376, 163, 133
2014-08, 464, 200, 145
2014-09, 507, 241, 180
2014-10, 304, 146, 134
2014-11, 279, 156, 101
2014-12, 212, 98, 131
2015-01, 530, 174, 169
2015-02, 421, 120, 134
2015-03, 335, 175, 107
2015-04, 249, 108, 77
2015-05, 205, 99, 101
2015-06, 1790, 767, 613
2015-07, 236, 104, 108
2015-08, 2292, 591, 433
2015-09, 1458, 320, 245
2015-10, 309, 133, 108
2015-11, 290, 123, 113
2015-12, 466, 132, 179
2016-01, 256, 88, 87
2016-02, 286, 139, 134
2016-03, 345, 166, 198
2016-04, 228, 131, 195
2016-05, 414, 212, 255
2016-06, 547, 251, 202
2016-07, 494, 252, 211
2016-08, 601, 426, 289
2016-09, 469, 273, 215
2016-10, 407, 146, 122
2016-11, 273, 192, 111
2016-12, 292, 146, 123
2017-01, 2421, 762, 669
2017-02, 1982, 631, 459
2017-03, 1284, 412, 311
2017-04, 847, 313, 218
2017-05, 854, 345, 229
2017-06, 491, 227, 196
2017-07, 1080, 719, 330
2017-08, 1939, 891, 691
2017-09, 739, 506, 361
2017-10, 588, 365, 221
2017-11, 990, 401, 408
2017-12, 727, 361, 254
2018-01, 1724, 801, 599
2018-02, 3106, 1972, 1160
2018-03, 2813, 1261, 975
2018-04, 2133, 1954, 785
2018-05, 2223, 1365, 758
2018-06, 2100, 1245, 866
2018-07, 1752, 1089, 765
2018-08, 3869, 2145, 1650
2018-09, 3426, 2150, 1785
2018-10, 3254, 1924, 1407
2018-11, 3389, 2365, 1585
2018-12, 2763, 1774, 1417
2019-01, 4350, 1553, 1469
2019-02, 4775, 2461, 1959
2019-03, 3850, 1922, 1567
2019-04, 2996, 1762, 1268
2019-05, 3805, 1987, 1689
2019-06, 4385, 2419, 1919
2019-07, 3475, 1765, 1467
2019-08, 4402, 2444, 1688
2019-09, 4676, 2080, 1576
2019-10, 4008, 1811, 1451
2019-11, 12982, 3212, 2768
2019-12, 3997, 1908, 1503
2020-01, 5007, 2224, 1571
2020-02, 5081, 2033, 1519
2020-03, 9200, 2437, 2049
2020-04, 9833, 4086, 3563
2020-05, 6031, 3147, 2258
2020-06, 8802, 6335, 3860
2020-07, 6881, 3513, 2587
2020-08, 6357, 3436, 2468
2020-09, 7080, 3263, 2534
2020-10, 12219, 5136, 3833
2020-11, 8861, 4087, 3114
2020-12, 6900, 3338, 2998
2021-01, 7310, 3282, 2461
2021-02, 9017, 4765, 4186
2021-03, 12673, 4915, 3821
2021-04, 7249, 3291, 2644
2021-05, 8604, 3455, 2620
2021-06, 7583, 4118, 3274
2021-07, 6382, 3848, 2952
2021-08, 9729, 3961, 3522
2021-09, 6097, 2990, 2293
2021-10, 6615, 3726, 2474
2021-11, 5240, 2995, 2364
2021-12, 5890, 3069, 2474
2022-01, 7088, 2924, 2130
2022-02, 8547, 3702, 2844
2022-03, 7215, 3224, 2508
2022-04, 7607, 3530, 2800
2022-05, 7508, 3770, 2626
2022-06, 8698, 3671, 3006
