department,count_negative,count_neutral,count_positive,count_total,population_2018,count_per_100000_negative,count_per_100000_neutral,count_per_100000_positive,proportion_per_100000_negative,proportion_per_100000_neutral,proportion_per_100000_positive
Bogotá Distrito Capital,36894,27112,17115,81121,7412566,497.7223811565388,365.75728297056645,230.89170470792436,45480.20857731044,33421.67872684015,21098.11269584941
Antioquia,8162,6000,3394,17556,6407102,127.38988703473115,93.64608211325495,52.97246711539788,46491.228070175435,34176.34996582365,19332.42196400091
Valle del Cauca,5622,4178,2512,12312,4475886,125.60641624920741,93.34464729441277,56.12296649199734,45662.76803118909,33934.37296946069,20402.85899935023
Cundinamarca,1214,740,388,2342,2919060,41.588730618760835,25.35062657156756,13.291950148335424,51836.03757472246,31596.925704526046,16567.036720751494
Atlántico,5297,3972,2213,11482,2535517,208.91202859219638,156.65444167796943,87.2800300688183,46133.07786099982,34593.27643267723,19273.64570632294
Santander,3820,2957,1524,8301,2184837,174.84141837583306,135.34190422443413,69.75348733109152,46018.55198168895,35622.21419106132,18359.23382724973
Bolívar,1343,1204,600,3147,2070110,64.87577954794672,58.161160518040106,28.98396703556816,42675.56402923419,38258.659040355895,19065.776930409913
Córdoba,712,764,329,1805,1784783,39.89280489560916,42.806324354277244,18.433613498111534,39445.983379501384,42326.86980609418,18227.146814404434
Nariño,463,393,249,1105,1630592,28.39459533715362,24.10167595572651,15.27052751393359,41900.452488687784,35565.610859728506,22533.93665158371
Norte de Santander,2035,2201,1184,5420,1491689,136.42253847819484,147.55086348427855,79.37311329640428,37546.12546125461,40608.85608856088,21845.018450184503
Cauca,351,243,142,736,1464488,23.967420695833628,16.592829712500205,9.696221478086539,47690.217391304344,33016.30434782609,19293.478260869564
Magdalena,909,1168,493,2570,1341746,67.74754685313017,87.05075327222887,36.74316897535003,35369.64980544747,45447.47081712062,19182.879377431906
Tolima,839,793,396,2028,1330187,63.07383849037767,59.61567809638795,29.770250348259307,41370.80867850099,39102.5641025641,19526.62721893491
Boyacá,685,1004,297,1986,1217376,56.26856451909681,82.47246536813606,24.396735273243436,34491.440080563945,50553.87713997986,14954.682779456194
Cesar,1186,1223,549,2958,1200574,98.78608065808521,101.86793983544538,45.728126712722414,40094.658553076406,41345.50371872887,18559.837728194725
Huila,380,336,139,855,1100386,34.53333648374298,30.534739627730634,12.63193097694809,44444.444444444445,39298.245614035084,16257.309941520467
Meta,981,652,341,1974,1039722,94.35214413083497,62.7090703091788,32.79722848992327,49696.048632218844,33029.38196555218,17274.569402228975
Caldas,590,497,245,1332,995670,59.25658099571143,49.91613687265861,24.60654634567678,44294.2942942943,37312.312312312315,18393.393393393395
Risaralda,1047,848,460,2355,943401,110.98143843392153,89.88754516902145,48.75975327564843,44458.59872611465,36008.49256900213,19532.908704883226
Sucre,282,208,106,596,904863,31.16493878078781,22.986905200013705,11.714480534622368,47315.43624161074,34899.328859060406,17785.234899328858
La Guajira,467,1059,388,1914,880560,53.03443263377851,120.26437721449986,44.06286908331062,24399.164054336467,55329.15360501567,20271.682340647858
Quindío,542,335,190,1067,539904,100.38821716453296,62.04806780464675,35.19144144144144,50796.626054358014,31396.43861293346,17806.93533270853
Chocó,85,57,37,179,534826,15.893019411920886,10.657671840935183,6.91813786165968,47486.03351955307,31843.575418994413,20670.391061452516
Casanare,379,584,123,1086,420504,90.12993931092213,138.88096189334703,29.25061354945494,34898.7108655617,53775.322283609574,11325.966850828729
Caquetá,79,63,16,158,401849,19.65912569149108,15.677530614733396,3.9815950767576878,50000.0,39873.417721518985,10126.582278481013
Putumayo,64,44,17,125,348182,18.38119144585303,12.637069119023959,4.882503977804712,51200.0,35200.0,13600.0
Arauca,165,227,69,461,262174,62.93530250902073,86.58371920938004,26.31839923104503,35791.75704989154,49240.78091106291,14967.462039045553
Vichada,19,24,11,54,107808,17.623924013060254,22.26179875333927,10.203324428613833,35185.18518518518,44444.444444444445,20370.37037037037
Guaviare,32,32,11,75,82767,38.662752063020285,38.662752063020285,13.290321021663223,42666.666666666664,42666.666666666664,14666.666666666666
Amazonas,66,41,37,144,76589,86.17425478854666,53.53249161106687,48.3098095026701,45833.333333333336,28472.222222222223,25694.444444444445
San Andrés y Providencia,0,1,0,1,61280,0.0,1.6318537859007833,0.0,0.0,100000.0,0.0
Guainía,23,23,8,54,48114,47.80313422288731,47.80313422288731,16.62717712100428,42592.59259259259,42592.59259259259,14814.814814814816
Vaupés,1,2,1,4,40797,2.451160624555727,4.902321249111454,2.451160624555727,25000.0,50000.0,25000.0
