month,tone,frequency,department
2018-01,Negative,0.10545023696682465,Antioquia
2018-01,Neutral,0.058056872037914695,Antioquia
2018-01,Positive,0.045023696682464455,Antioquia
2018-01,Negative without reposts,0.17956656346749225,Antioquia
2018-01,Neutral without reposts,0.06811145510835913,Antioquia
2018-01,Positive without reposts,0.04643962848297214,Antioquia
2018-02,Negative,0.2950236966824645,Antioquia
2018-02,Neutral,0.1872037914691943,Antioquia
2018-02,Positive,0.07109004739336493,Antioquia
2018-02,Negative without reposts,0.28792569659442724,Antioquia
2018-02,Neutral without reposts,0.14241486068111456,Antioquia
2018-02,Positive without reposts,0.07430340557275542,Antioquia
2018-03,Negative,0.17535545023696683,Antioquia
2018-03,Neutral,0.061611374407582936,Antioquia
2018-03,Positive,0.05568720379146919,Antioquia
2018-03,Negative without reposts,0.33746130030959753,Antioquia
2018-03,Neutral without reposts,0.11764705882352941,Antioquia
2018-03,Positive without reposts,0.07430340557275542,Antioquia
2018-04,Negative,0.14454976303317535,Antioquia
2018-04,Neutral,0.19549763033175355,Antioquia
2018-04,Positive,0.06990521327014218,Antioquia
2018-04,Negative without reposts,0.14241486068111456,Antioquia
2018-04,Neutral without reposts,0.17337461300309598,Antioquia
2018-04,Positive without reposts,0.0804953560371517,Antioquia
2018-05,Negative,0.12440758293838862,Antioquia
2018-05,Neutral,0.08412322274881516,Antioquia
2018-05,Positive,0.07819905213270142,Antioquia
2018-05,Negative without reposts,0.21052631578947367,Antioquia
2018-05,Neutral without reposts,0.10526315789473684,Antioquia
2018-05,Positive without reposts,0.07430340557275542,Antioquia
2018-06,Negative,0.07582938388625593,Antioquia
2018-06,Neutral,0.08175355450236967,Antioquia
2018-06,Positive,0.03317535545023697,Antioquia
2018-06,Negative without reposts,0.1393188854489164,Antioquia
2018-06,Neutral without reposts,0.08668730650154799,Antioquia
2018-06,Positive without reposts,0.030959752321981424,Antioquia
2018-07,Negative,0.06635071090047394,Antioquia
2018-07,Neutral,0.07109004739336493,Antioquia
2018-07,Positive,0.052132701421800945,Antioquia
2018-07,Negative without reposts,0.10526315789473684,Antioquia
2018-07,Neutral without reposts,0.08978328173374613,Antioquia
2018-07,Positive without reposts,0.05572755417956656,Antioquia
2018-08,Negative,0.26895734597156395,Antioquia
2018-08,Neutral,0.12322274881516587,Antioquia
2018-08,Positive,0.08767772511848342,Antioquia
2018-08,Negative without reposts,0.23219814241486067,Antioquia
2018-08,Neutral without reposts,0.14860681114551083,Antioquia
2018-08,Positive without reposts,0.08668730650154799,Antioquia
2018-09,Negative,0.17654028436018956,Antioquia
2018-09,Neutral,0.5059241706161137,Antioquia
2018-09,Positive,0.18009478672985782,Antioquia
2018-09,Negative without reposts,0.28792569659442724,Antioquia
2018-09,Neutral without reposts,0.25386996904024767,Antioquia
2018-09,Positive without reposts,0.15170278637770898,Antioquia
2018-10,Negative,0.2109004739336493,Antioquia
2018-10,Neutral,0.24644549763033174,Antioquia
2018-10,Positive,0.14454976303317535,Antioquia
2018-10,Negative without reposts,0.2755417956656347,Antioquia
2018-10,Neutral without reposts,0.19195046439628483,Antioquia
2018-10,Positive without reposts,0.11764705882352941,Antioquia
2018-11,Negative,0.27014218009478674,Antioquia
2018-11,Neutral,0.3696682464454976,Antioquia
2018-11,Positive,0.13270142180094788,Antioquia
2018-11,Negative without reposts,0.30959752321981426,Antioquia
2018-11,Neutral without reposts,0.16718266253869968,Antioquia
2018-11,Positive without reposts,0.1238390092879257,Antioquia
2018-12,Negative,0.33175355450236965,Antioquia
2018-12,Neutral,0.22393364928909953,Antioquia
2018-12,Positive,0.14336492890995262,Antioquia
2018-12,Negative without reposts,0.3653250773993808,Antioquia
2018-12,Neutral without reposts,0.13003095975232198,Antioquia
2018-12,Positive without reposts,0.14241486068111456,Antioquia
2019-01,Negative,0.2381516587677725,Antioquia
2019-01,Neutral,0.09597156398104266,Antioquia
2019-01,Positive,0.11492890995260663,Antioquia
2019-01,Negative without reposts,0.39009287925696595,Antioquia
2019-01,Neutral without reposts,0.11145510835913312,Antioquia
2019-01,Positive without reposts,0.09597523219814241,Antioquia
2019-02,Negative,0.4004739336492891,Antioquia
2019-02,Neutral,0.4146919431279621,Antioquia
2019-02,Positive,0.25,Antioquia
2019-02,Negative without reposts,0.42724458204334365,Antioquia
2019-02,Neutral without reposts,0.21671826625386997,Antioquia
2019-02,Positive without reposts,0.21362229102167182,Antioquia
2019-03,Negative,0.3305687203791469,Antioquia
2019-03,Neutral,0.273696682464455,Antioquia
2019-03,Positive,0.11137440758293839,Antioquia
2019-03,Negative without reposts,0.32507739938080493,Antioquia
2019-03,Neutral without reposts,0.14860681114551083,Antioquia
2019-03,Positive without reposts,0.11764705882352941,Antioquia
2019-04,Negative,0.21208530805687204,Antioquia
2019-04,Neutral,0.6113744075829384,Antioquia
2019-04,Positive,0.1338862559241706,Antioquia
2019-04,Negative without reposts,0.3188854489164087,Antioquia
2019-04,Neutral without reposts,0.17337461300309598,Antioquia
2019-04,Positive without reposts,0.07120743034055728,Antioquia
2019-05,Negative,0.3815165876777251,Antioquia
2019-05,Neutral,0.6516587677725119,Antioquia
2019-05,Positive,0.22985781990521326,Antioquia
2019-05,Negative without reposts,0.4148606811145511,Antioquia
2019-05,Neutral without reposts,0.18575851393188855,Antioquia
2019-05,Positive without reposts,0.16408668730650156,Antioquia
2019-06,Negative,0.24407582938388625,Antioquia
2019-06,Neutral,0.22867298578199052,Antioquia
2019-06,Positive,0.14336492890995262,Antioquia
2019-06,Negative without reposts,0.4055727554179567,Antioquia
2019-06,Neutral without reposts,0.21671826625386997,Antioquia
2019-06,Positive without reposts,0.20123839009287925,Antioquia
2019-07,Negative,0.1481042654028436,Antioquia
2019-07,Neutral,0.19194312796208532,Antioquia
2019-07,Positive,0.08175355450236967,Antioquia
2019-07,Negative without reposts,0.2848297213622291,Antioquia
2019-07,Neutral without reposts,0.15789473684210525,Antioquia
2019-07,Positive without reposts,0.10835913312693499,Antioquia
2019-08,Negative,0.20734597156398105,Antioquia
2019-08,Neutral,0.1504739336492891,Antioquia
2019-08,Positive,0.1646919431279621,Antioquia
2019-08,Negative without reposts,0.33126934984520123,Antioquia
2019-08,Neutral without reposts,0.14551083591331268,Antioquia
2019-08,Positive without reposts,0.17337461300309598,Antioquia
2019-09,Negative,0.26895734597156395,Antioquia
2019-09,Neutral,0.1670616113744076,Antioquia
2019-09,Positive,0.11611374407582939,Antioquia
2019-09,Negative without reposts,0.43034055727554177,Antioquia
2019-09,Neutral without reposts,0.18575851393188855,Antioquia
2019-09,Positive without reposts,0.13003095975232198,Antioquia
2019-10,Negative,0.1646919431279621,Antioquia
2019-10,Neutral,0.13744075829383887,Antioquia
2019-10,Positive,0.09834123222748815,Antioquia
2019-10,Negative without reposts,0.33436532507739936,Antioquia
2019-10,Neutral without reposts,0.13003095975232198,Antioquia
2019-10,Positive without reposts,0.09287925696594428,Antioquia
2019-11,Negative,1.0,Antioquia
2019-11,Neutral,0.16824644549763032,Antioquia
2019-11,Positive,0.12440758293838862,Antioquia
2019-11,Negative without reposts,1.0,Antioquia
2019-11,Neutral without reposts,0.2693498452012384,Antioquia
2019-11,Positive without reposts,0.2043343653250774,Antioquia
2019-12,Negative,0.2109004739336493,Antioquia
2019-12,Neutral,0.13033175355450238,Antioquia
2019-12,Positive,0.11848341232227488,Antioquia
2019-12,Negative without reposts,0.34055727554179566,Antioquia
2019-12,Neutral without reposts,0.16718266253869968,Antioquia
2019-12,Positive without reposts,0.08668730650154799,Antioquia
2020-01,Negative,0.2523696682464455,Antioquia
2020-01,Neutral,0.17180094786729858,Antioquia
2020-01,Positive,0.09004739336492891,Antioquia
2020-01,Negative without reposts,0.4055727554179567,Antioquia
2020-01,Neutral without reposts,0.18575851393188855,Antioquia
2020-01,Positive without reposts,0.14860681114551083,Antioquia
2020-02,Negative,0.24644549763033174,Antioquia
2020-02,Neutral,0.11492890995260663,Antioquia
2020-02,Positive,0.0924170616113744,Antioquia
2020-02,Negative without reposts,0.38699690402476783,Antioquia
2020-02,Neutral without reposts,0.16408668730650156,Antioquia
2020-02,Positive without reposts,0.13312693498452013,Antioquia
2020-03,Negative,0.5035545023696683,Antioquia
2020-03,Neutral,0.10426540284360189,Antioquia
2020-03,Positive,0.06990521327014218,Antioquia
2020-03,Negative without reposts,0.7554179566563467,Antioquia
2020-03,Neutral without reposts,0.10835913312693499,Antioquia
2020-03,Positive without reposts,0.11455108359133127,Antioquia
2020-04,Negative,0.6966824644549763,Antioquia
2020-04,Neutral,0.4372037914691943,Antioquia
2020-04,Positive,0.38981042654028436,Antioquia
2020-04,Negative without reposts,0.7647058823529411,Antioquia
2020-04,Neutral without reposts,0.29721362229102166,Antioquia
2020-04,Positive without reposts,0.30030959752321984,Antioquia
2018-01,Negative,0.3103448275862069,Atlántico
2018-01,Neutral,0.09717868338557993,Atlántico
2018-01,Positive,0.09404388714733543,Atlántico
2018-01,Negative without reposts,0.39444444444444443,Atlántico
2018-01,Neutral without reposts,0.12777777777777777,Atlántico
2018-01,Positive without reposts,0.08333333333333333,Atlántico
2018-02,Negative,0.6520376175548589,Atlántico
2018-02,Neutral,0.38557993730407525,Atlántico
2018-02,Positive,0.15987460815047022,Atlántico
2018-02,Negative without reposts,0.8222222222222222,Atlántico
2018-02,Neutral without reposts,0.37222222222222223,Atlántico
2018-02,Positive without reposts,0.17222222222222222,Atlántico
2018-03,Negative,0.7084639498432602,Atlántico
2018-03,Neutral,0.2445141065830721,Atlántico
2018-03,Positive,0.21316614420062696,Atlántico
2018-03,Negative without reposts,0.8944444444444445,Atlántico
2018-03,Neutral without reposts,0.3,Atlántico
2018-03,Positive without reposts,0.24444444444444444,Atlántico
2018-04,Negative,0.438871473354232,Atlántico
2018-04,Neutral,0.4890282131661442,Atlántico
2018-04,Positive,0.1974921630094044,Atlántico
2018-04,Negative without reposts,0.5444444444444444,Atlántico
2018-04,Neutral without reposts,0.4166666666666667,Atlántico
2018-04,Positive without reposts,0.21666666666666667,Atlántico
2018-05,Negative,0.41379310344827586,Atlántico
2018-05,Neutral,0.3887147335423197,Atlántico
2018-05,Positive,0.2507836990595611,Atlántico
2018-05,Negative without reposts,0.5444444444444444,Atlántico
2018-05,Neutral without reposts,0.3111111111111111,Atlántico
2018-05,Positive without reposts,0.14444444444444443,Atlántico
2018-06,Negative,0.335423197492163,Atlántico
2018-06,Neutral,0.31347962382445144,Atlántico
2018-06,Positive,0.18808777429467086,Atlántico
2018-06,Negative without reposts,0.4722222222222222,Atlántico
2018-06,Neutral without reposts,0.32222222222222224,Atlántico
2018-06,Positive without reposts,0.2111111111111111,Atlántico
2018-07,Negative,0.42946708463949845,Atlántico
2018-07,Neutral,0.30094043887147337,Atlántico
2018-07,Positive,0.10344827586206896,Atlántico
2018-07,Negative without reposts,0.49444444444444446,Atlántico
2018-07,Neutral without reposts,0.18333333333333332,Atlántico
2018-07,Positive without reposts,0.16111111111111112,Atlántico
2018-08,Negative,0.36363636363636365,Atlántico
2018-08,Neutral,0.25705329153605017,Atlántico
2018-08,Positive,0.22884012539184953,Atlántico
2018-08,Negative without reposts,0.4222222222222222,Atlántico
2018-08,Neutral without reposts,0.2388888888888889,Atlántico
