date, proportion_veneco, proportion_veneca
2014-01, 0.40938, 0.15313
2014-02, 0.28341, 0.12480
2014-03, 0.32616, 0.10985
2014-04, 0.17192, 0.05158
2014-05, 0.39551, 0.14508
2014-06, 0.39474, 0.13573
2014-07, 0.46069, 0.10688
2014-08, 0.55312, 0.06900
2014-09, 0.26902, 0.06658
2014-10, 0.27132, 0.12016
2014-11, 0.31204, 0.09807
2014-12, 0.38327, 0.10895
2015-01, 0.30103, 0.13514
2015-02, 0.29853, 0.12316
2015-03, 0.24789, 0.06980
2015-04, 0.30944, 0.06294
2015-05, 0.31408, 0.17690
2015-06, 0.28637, 0.03805
2015-07, 0.27686, 0.08540
2015-08, 0.15098, 0.08980
2015-09, 0.19301, 0.07541
2015-10, 0.26055, 0.11538
2015-11, 0.33929, 0.06868
2015-12, 0.29633, 0.12294
2016-01, 0.34503, 0.15400
2016-02, 0.36082, 0.08984
2016-03, 0.33092, 0.05688
2016-04, 0.36551, 0.07079
2016-05, 0.43156, 0.05610
2016-06, 0.29813, 0.10345
2016-07, 0.29005, 0.02069
2016-08, 0.10582, 0.12232
2016-09, 0.20673, 0.05357
2016-10, 0.19672, 0.07161
2016-11, 0.16284, 0.14823
2016-12, 0.14223, 0.08315
2017-01, 0.19908, 0.02170
2017-02, 0.26209, 0.02593
2017-03, 0.22093, 0.04394
2017-04, 0.20193, 0.09198
2017-05, 0.19406, 0.06416
2017-06, 0.18006, 0.08557
2017-07, 0.06790, 0.02450
2017-08, 0.06354, 0.05100
2017-09, 0.13136, 0.06151
2017-10, 0.11672, 0.07131
2017-11, 0.08088, 0.05248
2017-12, 0.11747, 0.04626
2018-01, 0.06835, 0.04235
2018-02, 0.03734, 0.02296
2018-03, 0.06262, 0.10341
2018-04, 0.06277, 0.05447
2018-05, 0.05420, 0.05870
2018-06, 0.10098, 0.09480
2018-07, 0.11544, 0.05026
2018-08, 0.05410, 0.01788
2018-09, 0.02096, 0.00936
2018-10, 0.04658, 0.01242
2018-11, 0.03024, 0.01286
2018-12, 0.05915, 0.02800
2019-01, 0.07238, 0.03469
2019-02, 0.04144, 0.01688
2019-03, 0.07701, 0.06086
2019-04, 0.10568, 0.02266
2019-05, 0.04823, 0.01746
2019-06, 0.06309, 0.02300
2019-07, 0.06617, 0.03282
2019-08, 0.06110, 0.02380
2019-09, 0.08433, 0.03169
2019-10, 0.08557, 0.03848
2019-11, 0.13579, 0.06822
2019-12, 0.10800, 0.05018
2020-01, 0.14089, 0.05286
2020-02, 0.19674, 0.04597
2020-03, 0.10457, 0.04898
2020-04, 0.05297, 0.02531
2020-05, 0.08208, 0.05629
2020-06, 0.43615, 0.11237
2020-07, 0.20346, 0.09880
2020-08, 0.25903, 0.22601
2020-09, 0.27323, 0.11379
2020-10, 0.17939, 0.08602
2020-11, 0.25170, 0.06717
2020-12, 0.17482, 0.07943
2021-01, 0.21767, 0.09454
2021-02, 0.07003, 0.02732
2021-03, 0.13614, 0.04942
2021-04, 0.19363, 0.10131
2021-05, 0.20899, 0.08436
2021-06, 0.25688, 0.09058
2021-07, 0.25146, 0.13066
2021-08, 0.22920, 0.10672
2021-09, 0.24106, 0.10400
2021-10, 0.19617, 0.07272
2021-11, 0.13928, 0.05791
2021-12, 0.23919, 0.08425
2022-01, 0.18352, 0.14806
2022-02, 0.15172, 0.05006
2022-03, 0.23864, 0.09307
2022-04, 0.31658, 0.12660
2022-05, 0.22872, 0.07596
2022-06, 0.23566, 0.07716
