month,proportion_negative_veneco,proportion_negative_veneca
2015-1,0.909090909,1
2015-2,0.333333333,0.75
2015-3,0.625,nan
2015-4,0.444444444,1
2015-5,0.25,0.333333333
2015-6,0.685714286,0.5
2015-7,0.333333333,nan
2015-8,0.904761905,0.875
2015-9,0.92,0.875
2015-10,0.727272727,1
2015-11,0.285714286,0.333333333
2015-12,0.3,1
2016-1,0.571428571,1
2016-2,0.384615385,0.6
2016-3,0.523809524,1
2016-4,0.4,0.5
2016-5,0.333333333,1
2016-6,0.714285714,1
2016-7,0.6,1
2016-8,0.6,0.631578947
2016-9,0.357142857,0
2016-10,0.727272727,0.75
2016-11,0.333333333,0.75
2016-12,0.375,0.666666667
2017-1,0.740740741,0
2017-2,0.458333333,1
2017-3,0.666666667,0.75
2017-4,0.454545455,0.666666667
2017-5,0.666666667,0.5
2017-6,0.428571429,0.25
2017-7,0.666666667,1
2017-8,0.642857143,1
2017-9,0.5,0.333333333
2017-10,0.454545455,0.625
2017-11,0.857142857,0.666666667
2017-12,0.461538462,1
2018-1,0.769230769,0.833333333
2018-2,0.625,1
2018-3,0.909090909,1
2018-4,0.833333333,1
2018-5,0.714285714,0.875
2018-6,1,1
2018-7,0.714285714,0.75
2018-8,0.833333333,1
2018-9,0.75,1
2018-10,1,1
2018-11,0.571428571,nan
2018-12,1,1
2019-1,0.666666667,1
2019-2,0.818181818,1
2019-3,0.857142857,0.909090909
2019-4,0.8,1
2019-5,1,0.888888889
2019-6,1,nan
2019-7,0.857142857,1
2019-8,0.833333333,0.666666667
2019-9,0.571428571,1
2019-10,0.909090909,0.875
2019-11,0.555555556,1
2019-12,0.555555556,0.8
2020-1,0.777777778,1
2020-2,0.625,1
2020-3,0.916666667,1
2020-4,0.888888889,0.666666667
2020-5,0.7,0.8
2020-6,0.541666667,0.666666667
2020-7,0.888888889,0
2020-8,0.666666667,1
2020-9,0.466666667,1
2020-10,0.888888889,0.75
2020-11,0.666666667,nan
2020-12,0.5,0.6
2021-1,0.666666667,0.666666667
2021-2,0.916666667,0.5
2021-3,1,0.8
