department,count,population_2018,proportion
Bogotá Distrito Capital,36894,7412566,497.7223811565388
Atlántico,5297,2535517,208.91202859219638
Santander,3820,2184837,174.84141837583306
Norte de Santander,2035,1491689,136.42253847819484
Antioquia,8162,6407102,127.38988703473115
Valle del Cauca,5622,4475886,125.60641624920741
Risaralda,1047,943401,110.98143843392153
Quindío,542,539904,100.38821716453296
Cesar,1186,1200574,98.78608065808521
Meta,981,1039722,94.35214413083497
Casanare,379,420504,90.12993931092213
Amazonas,66,76589,86.17425478854666
Magdalena,909,1341746,67.74754685313017
Bolívar,1343,2070110,64.87577954794672
Tolima,839,1330187,63.07383849037767
Arauca,165,262174,62.93530250902073
Caldas,590,995670,59.25658099571143
Boyacá,685,1217376,56.26856451909681
La Guajira,467,880560,53.03443263377851
Guainía,23,48114,47.80313422288731
Cundinamarca,1214,2919060,41.588730618760835
Córdoba,712,1784783,39.89280489560916
Guaviare,32,82767,38.662752063020285
Huila,380,1100386,34.53333648374298
Sucre,282,904863,31.16493878078781
Nariño,463,1630592,28.39459533715362
Cauca,351,1464488,23.967420695833628
Caquetá,79,401849,19.65912569149108
Putumayo,64,348182,18.38119144585303
Vichada,19,107808,17.623924013060254
Chocó,85,534826,15.893019411920886
Vaupés,1,40797,2.451160624555727
