department,count,population_2018,proportion
Bogotá Distrito Capital,27112,7412566,365.75728297056645
Atlántico,3972,2535517,156.65444167796943
Norte de Santander,2201,1491689,147.55086348427855
Casanare,584,420504,138.88096189334703
Santander,2957,2184837,135.34190422443413
La Guajira,1059,880560,120.26437721449986
Cesar,1223,1200574,101.86793983544538
Antioquia,6000,6407102,93.64608211325495
Valle del Cauca,4178,4475886,93.34464729441277
Risaralda,848,943401,89.88754516902145
Magdalena,1168,1341746,87.05075327222887
Arauca,227,262174,86.58371920938004
Boyacá,1004,1217376,82.47246536813606
Meta,652,1039722,62.7090703091788
Quindío,335,539904,62.04806780464675
Tolima,793,1330187,59.61567809638795
Bolívar,1204,2070110,58.161160518040106
Amazonas,41,76589,53.53249161106687
Caldas,497,995670,49.91613687265861
Guainía,23,48114,47.80313422288731
Córdoba,764,1784783,42.806324354277244
Guaviare,32,82767,38.662752063020285
Huila,336,1100386,30.534739627730634
Cundinamarca,740,2919060,25.35062657156756
Nariño,393,1630592,24.10167595572651
Sucre,208,904863,22.986905200013705
Vichada,24,107808,22.26179875333927
Cauca,243,1464488,16.592829712500205
Caquetá,63,401849,15.677530614733396
Putumayo,44,348182,12.637069119023959
Chocó,57,534826,10.657671840935183
Vaupés,2,40797,4.902321249111454
San Andrés y Providencia,1,61280,1.6318537859007833
