department,count,population_2018,proportion
Bogotá Distrito Capital,17115,7412566,230.89170470792436
Atlántico,2213,2535517,87.2800300688183
Norte de Santander,1184,1491689,79.37311329640428
Santander,1524,2184837,69.75348733109152
Valle del Cauca,2512,4475886,56.12296649199734
Antioquia,3394,6407102,52.97246711539788
Risaralda,460,943401,48.75975327564843
Amazonas,37,76589,48.3098095026701
Cesar,549,1200574,45.728126712722414
La Guajira,388,880560,44.06286908331062
Magdalena,493,1341746,36.74316897535003
Quindío,190,539904,35.19144144144144
Meta,341,1039722,32.79722848992327
Tolima,396,1330187,29.770250348259307
Casanare,123,420504,29.25061354945494
Bolívar,600,2070110,28.98396703556816
Arauca,69,262174,26.31839923104503
Caldas,245,995670,24.60654634567678
Boyacá,297,1217376,24.396735273243436
Córdoba,329,1784783,18.433613498111534
Guainía,8,48114,16.62717712100428
Nariño,249,1630592,15.27052751393359
Cundinamarca,388,2919060,13.291950148335424
Guaviare,11,82767,13.290321021663223
Huila,139,1100386,12.63193097694809
Sucre,106,904863,11.714480534622368
Vichada,11,107808,10.203324428613833
Cauca,142,1464488,9.696221478086539
Chocó,37,534826,6.91813786165968
Putumayo,17,348182,4.882503977804712
Caquetá,16,401849,3.9815950767576878
Vaupés,1,40797,2.451160624555727
