department,count,population_2018_x,proportion,mugging,population_2018_y,proportion_per_100000
Bogotá Distrito Capital,36894,7412566,497.7223811565388,105965,7412566,1429.5319596479817
Atlántico,5297,2535517,208.9120285921964,12880,2535517,507.9831844945232
Santander,3820,2184837,174.84141837583306,9631,2184837,440.8109163292273
Norte de Santander,2035,1491689,136.42253847819484,3193,1491689,214.05266111099564
Antioquia,8162,6407102,127.38988703473116,31649,6407102,493.9674754670676
Valle del Cauca,5622,4475886,125.6064162492074,21237,4475886,474.4758914771288
Risaralda,1047,943401,110.98143843392153,3166,943401,335.59430189283245
Quindío,542,539904,100.38821716453296,2415,539904,447.3017425320057
Cesar,1186,1200574,98.7860806580852,3581,1200574,298.27399227369574
Meta,981,1039722,94.35214413083496,5114,1039722,491.8622477931601
Casanare,379,420504,90.12993931092213,1332,420504,316.762741852634
Amazonas,66,76589,86.17425478854666,135,76589,176.2655211583909
Magdalena,909,1341746,67.74754685313017,3602,1341746,268.4561757590483
Bolívar,1343,2070110,64.87577954794672,6100,2070110,294.6703315282763
Tolima,839,1330187,63.07383849037767,5719,1330187,429.9395498527651
Arauca,165,262174,62.93530250902073,478,262174,182.321664238254
Caldas,590,995670,59.25658099571143,2333,995670,234.3145821406691
Boyacá,685,1217376,56.26856451909681,2917,1217376,239.61372657256263
La Guajira,467,880560,53.03443263377851,1574,880560,178.7498864359044
Guainía,23,48114,47.80313422288731,47,48114,97.68466558590016
Cundinamarca,1214,2919060,41.588730618760835,12514,2919060,428.6996498872925
Córdoba,712,1784783,39.89280489560916,2271,1784783,127.2423594352927
Guaviare,32,82767,38.662752063020285,86,82767,103.90614616936702
Huila,380,1100386,34.53333648374298,4468,1100386,406.039335287799
Sucre,282,904863,31.16493878078781,2143,904863,236.83143194052585
Nariño,463,1630592,28.39459533715362,5267,1630592,323.011519742523
Cauca,351,1464488,23.967420695833628,4454,1464488,304.1335948126581
Caquetá,79,401849,19.65912569149108,1175,401849,292.39838844939266
Putumayo,64,348182,18.38119144585303,294,348182,84.43859820438736
Vichada,19,107808,17.623924013060254,50,107808,46.37874740279015
Chocó,85,534826,15.893019411920886,816,534826,152.5729863544405
Vaupés,1,40797,2.451160624555727,14,40797,34.31624874378018
