department,unemployment_rate,population_2018_x,unemployment_rate_per_100000,count,population_2018_y,proportion
Antioquia,10.2,6407102,159.20098039215685,8162,6407102,127.38988703473116
Atlántico,7.4,2535517,291.8539325842696,5297,2535517,208.9120285921964
Bogotá Distrito Capital,10.5,7412566,141.65158371040724,36894,7412566,497.7223811565388
Bolívar,6.4,2070110,309.16149068322983,1343,2070110,64.87577954794672
Boyacá,7.5,1217376,616.0714285714286,685,1217376,56.26856451909681
Caldas,9.2,995670,923.9927536231884,590,995670,59.25658099571143
Caquetá,8.2,401849,2040.5714285714284,79,401849,19.65912569149108
Cauca,8.3,1464488,566.7469879518072,351,1464488,23.967420695833628
Cesar,10.9,1200574,907.9166666666666,1186,1200574,98.7860806580852
Chocó,9.8,534826,1832.3636363636365,85,534826,15.893019411920886
Córdoba,9.1,1784783,509.8791208791209,712,1784783,39.89280489560916
Cundinamarca,8.0,2919060,274.0625,1214,2919060,41.588730618760835
Huila,8.7,1100386,790.6321839080459,380,1100386,34.53333648374298
La Guajira,6.5,880560,738.1538461538462,467,880560,53.03443263377851
Magdalena,7.4,1341746,551.5405405405405,909,1341746,67.74754685313017
Meta,12.2,1039722,1173.3606557377047,981,1039722,94.35214413083496
Nariño,6.8,1630592,417.02941176470586,463,1630592,28.39459533715362
Norte de Santander,12.4,1491689,831.2903225806451,2035,1491689,136.42253847819484
Quindío,13.5,539904,2500.4444444444443,542,539904,100.38821716453296
Risaralda,7.8,943401,826.7948717948718,1047,943401,110.98143843392153
Santander,6.8,2184837,311.2352941176471,3820,2184837,174.84141837583306
Sucre,9.1,904863,1005.6813186813188,282,904863,31.16493878078781
Tolima,10.1,1330187,759.2871287128713,839,1330187,63.07383849037767
Valle del Cauca,11.5,4475886,256.9347826086957,5622,4475886,125.6064162492074
